time latitude longitude depth mag magType
2023-03-26T20:36:29.040Z 18.8741666666667 -155.1915 9.94 3.17 ml
2023-03-26T18:39:55.304Z -7.4564 130.1762 10 4.9 mb
2023-03-26T18:32:44.790Z 17.9426 -66.9536 14 3.37 md
2023-03-26T17:58:11.238Z 18.7744 -101.6282 88.986 4.2 mb
2023-03-26T17:26:41.429Z -36.4586 -72.7522 43.109 4.7 mwr
2023-03-26T16:55:07.458Z 18.0747 -69.1432 92.495 2.9 ml
2023-03-26T16:10:04.741Z 60.3302 -151.46 46.4 3.6 ml
2023-03-26T15:10:25.320Z 18.8783333333333 -64.9356666666667 3.04 3.36 md
2023-03-26T15:04:21.034Z 38.337 141.6856 68.38 4.9 mww
2023-03-26T14:33:04.402Z 38.3522 141.6744 66.429 4.5 mb
2023-03-26T13:14:32.905Z 36.4356 71.1775 117.67 4.4 mb
2023-03-26T12:41:11.396Z -4.9622 131.9716 47.357 5.1 mb
2023-03-26T12:38:18.234Z 17.6217 120.6868 45.529 4.6 mb
2023-03-26T11:39:00.915Z -25.6955 -69.1855 6.319 5 mww
2023-03-26T10:43:44.822Z -7.5337 130.3732 24.189 4.9 mb
2023-03-26T10:31:30.154Z 61.3045 -150.0815 35.1 2.5 ml
2023-03-26T10:12:20.480Z 19.1955 -67.8246 11 3.5 md
2023-03-26T08:38:38.390Z 19.0578 -67.8865 93 3.82 md
2023-03-26T07:11:27.705Z 31.65851409 -104.3498159 6.697143555000001 3.3 ml
2023-03-26T06:20:45.070Z 35.7898333 -116.8505 0.42 3.59 ml
2023-03-26T06:08:49.070Z 17.9338333333333 -66.9175 13.89 2.77 md
2023-03-26T04:43:49.523Z 21.5254 121.4208 10 4.4 mb
2023-03-26T04:06:48.245Z 54.3886 -159.7074 35 3.3 ml
2023-03-26T03:58:11.610Z 19.3243 -67.9091 30 3.73 md
2023-03-26T03:01:52.343Z 63.4697 -147.2897 18.4 2.8 ml
2023-03-26T02:53:28.468Z 5.2577 94.5303 65.618 4.5 mb
2023-03-26T02:25:04.060Z 19.2985 -155.228333333333 8.48 3.04 ml
2023-03-26T02:24:15.854Z 9.8615 -83.8966 69.034 4.1 mb
2023-03-26T02:17:48.517Z 15.1751 -94.2646 59.411 4.2 mb
2023-03-26T01:43:02.418Z 52.3925 -168.1794 40.456 4.3 mb
2023-03-26T00:41:06.700Z 19.1575 -67.9486 72 3.93 md
2023-03-26T00:39:52.628Z -22.4089 -66.2018 267.943 4.6 mb
2023-03-26T00:17:26.720Z 18.4495 -68.3726 140 4.16 md
2023-03-26T00:02:43.956Z -21.0284 -68.6124 105.24 5.4 mww
2023-03-25T23:29:05.309Z -18.2083 168.0275 35 4.8 mb
2023-03-25T21:55:35.317Z -16.012 -174.7621 10.113 4.6 mb
2023-03-25T21:35:35.541Z 17.1156 120.9222 10.424 4.5 mb
2023-03-25T20:48:47.910Z 19.2796666666667 -155.378666666667 -0.21 2.71 ml
2023-03-25T20:27:14.942Z 51.8572 -178.0834 7.54 3 ml
2023-03-25T19:57:56.941Z -18.209 167.9743 35.1 4.8 mb
2023-03-25T19:13:32.329Z 32.6147 47.6789 10 4.8 mb
2023-03-25T19:07:13.290Z 18.4843333333333 -64.826 75.75 3.21 md
2023-03-25T17:42:55.191Z 60.3796 -151.7782 57.7 2.5 ml
2023-03-25T15:56:21.953Z 56.9476 -158.2432 0 2.6 ml
2023-03-25T15:05:16.205Z 28.65142822 -98.27516085 0.122273763 2.8 ml
2023-03-25T15:02:51.060Z 17.9486666666667 -66.8225 8.06 3.09 md
2023-03-25T14:29:42.530Z 19.395 -155.218 28.86 2.52 md
2023-03-25T13:57:40.567Z 32.7705 -39.7916 10 4.7 mb
2023-03-25T12:03:44.617Z 22.6673 95.3275 9.98 4.3 mb
2023-03-25T11:50:08.840Z 17.9675 -66.96 6.45 2.85 md
2023-03-25T10:16:26.395Z 5.1035 125.4257 187.246 4.3 mb
2023-03-25T09:58:32.380Z -21.0439 173.485 10 5 mww
2023-03-25T09:46:50.417Z -20.3763 -177.8813 522.592 4.7 mb
2023-03-25T09:11:01.903Z -5.2969 102.0212 26.453 4.4 mb
2023-03-25T09:04:22.320Z 40.336 -125.2821667 10 3.13 ml
2023-03-25T08:22:41.167Z 31.60591157 -103.9764528 8.663806152 2.5 ml
2023-03-25T07:54:15.091Z 62.1632 -152.0746 105.6 2.9 ml
2023-03-25T07:38:12.707Z 59.9656 -147.0436 0.7 2.6 ml
2023-03-25T07:31:23.168Z 59.9795 -147.0461 3.8 2.6 ml
2023-03-25T07:30:14.759Z -22.909 -68.8085 114.256 4.6 mwr
2023-03-25T06:33:40.467Z 37.9055 36.1849 10 4.3 mb
2023-03-25T04:39:34.022Z 37.9894 36.9839 10 4.4 mb
2023-03-25T04:32:11.220Z 35.491 -118.4648333 5.29 2.87 ml
2023-03-25T02:14:38.455Z 51.8889 -178.1223 5.696 2.7 ml
2023-03-25T01:48:07.568Z 54.3238 -159.7728 35 3 ml
2023-03-25T01:42:13.302Z 13.0299 -61.1706 10 3.4 ml
2023-03-24T22:41:30.289Z -20.5253 -178.0847 484.534 4.4 mb
2023-03-24T21:29:04.780Z 19.2726666666667 -155.389666666667 -0.67 2.51 ml
2023-03-24T20:47:34.744Z 52.1679 -170.4412 15.4 3.5 ml
2023-03-24T20:47:22.660Z 17.9563333333333 -66.9533333333333 5.9 2.83 md
2023-03-24T20:23:20.825Z 60.1452 -151.6229 75.7 3 ml
2023-03-24T20:08:41.680Z 19.0275 -65.153 8.06 3.37 md
2023-03-24T18:43:41.250Z 19.2508333333333 -155.376666666667 5.64 2.5 ml
2023-03-24T17:59:00.737Z 51.8541 -178.0816 3.649 2.8 ml
2023-03-24T15:43:38.811Z 62.2777 -151.001 74.7 2.8 ml
2023-03-24T15:04:04.090Z 33.1801667 -116.4116667 11.86 2.87 ml
2023-03-24T14:41:45.090Z 16.1254 -96.2306 42.02 4.3 mb
2023-03-24T14:34:17.080Z 54.7211 -156.959 28.1 2.6 ml
2023-03-24T14:01:21.502Z 13.6784 -90.5296 57.001 4.2 mb
2023-03-24T13:45:13.700Z 33.178 -116.4095 11.69 3.42 ml
2023-03-24T13:10:34.997Z 37.9773 37.526 10 4.4 mb
2023-03-24T13:01:34.953Z -20.2857 -176.5702 281.147 5.6 mww
2023-03-24T12:16:12.761Z -10.8109 113.3166 10 4.6 mb
2023-03-24T11:53:02.460Z 19.2461666666667 -155.382333333333 31.32 2.75 ml
2023-03-24T11:32:37.309Z -7.1076 125.9529 469.146 4.5 mb
2023-03-24T10:24:54.960Z 17.9558333333333 -66.9495 6.7 2.61 md
2023-03-24T09:26:32.139Z -2.588 138.7956 31.107 4.7 mb
2023-03-24T07:47:17.711Z 54.4582 -161.4793 13.2 2.5 ml
2023-03-24T07:46:09.260Z 38.4308333 -122.6358333 9.72 2.62 md
2023-03-24T07:40:38.430Z 18.0315 -66.2298333333333 14.35 2.95 md
2023-03-24T07:25:35.049Z 36.4291 140.3217 84.661 4.7 mwr
2023-03-24T07:10:02.790Z 40.8647 48.2451 43.145 4.1 mb
2023-03-24T06:26:58.720Z 19.1923333333333 -155.460666666667 36.61 2.75 ml
2023-03-24T04:38:09.932Z 29.964 141.8529 10 5 mb
2023-03-24T04:37:10.159Z 30.0053 141.8439 10 4.7 mb
2023-03-24T04:36:09.670Z 19.2023 -66.6031 33 3.74 md
2023-03-24T04:33:25.717Z -22.9607 -66.5047 253.617 4.3 mb
2023-03-24T04:32:54.658Z 29.9747 141.8987 10 4.6 mb
2023-03-24T04:25:26.072Z 29.9829 141.9136 4.574 5.4 mww
2023-03-24T04:06:24.371Z 29.6008 81.8438 29.343 4.2 mb
2023-03-24T04:02:06.890Z 17.9473333333333 -66.8421666666667 11.94 2.59 md
2023-03-24T03:22:42.572Z 24.1675 93.794 78.995 4.4 mb
2023-03-24T03:16:57.198Z 38.462 44.8446 17.884 5.6 mww
2023-03-24T03:04:00.400Z 19.4991666666667 -155.461 3.73 3.9 ml
2023-03-24T02:38:51.596Z -6.9805 125.7025 499.789 4.8 mb
2023-03-24T00:39:53.653Z 37.9529 36.3688 10 4.6 mwr
2023-03-24T00:30:20.870Z 35.5355 -117.44 9.3 3.24 ml
2023-03-23T23:03:32.586Z 59.7271 -153.3158 113.9 2.6 ml
2023-03-23T22:07:43.580Z 19.2535 -155.398833333333 31.82 2.64 ml
2023-03-23T21:24:11.394Z -36.7178 -70.4639 165.896 4.5 mwr
2023-03-23T19:16:31.290Z -31.6835 -178.8698 9.674 4.1 mb
2023-03-23T18:36:42.761Z 30.0109 141.8769 10 4.6 mb
2023-03-23T18:18:12.136Z -31.6176 -179.118 9.459 4.3 mb
2023-03-23T14:11:01.007Z 54.5344 -159.7268 10 2.8 ml
2023-03-23T13:51:39.241Z 54.9409 -157.2999 21.1 2.8 ml
2023-03-23T13:43:31.791Z 38.1847 -117.7944 11.2 2.6 ml
2023-03-23T11:21:02.377Z 58.0891 -138.1692 1 3 ml
2023-03-23T11:13:15.220Z 48.48616666666667 -123.223 21.84 2.62 ml
2023-03-23T10:36:56.291Z 59.0202 -135.9313 0 2.7 ml
